current_date,台中,嘉義,永康,台南,高雄
12-07_16,18.36,17.44,19.39,19.5,20.01
12-07_17,18.14,17.38,19.25,19.39,19.87
12-07_18,17.96,17.28,19.12,19.28,19.78
12-07_19,17.79,17.15,19.02,19.19,19.65
12-07_20,17.67,17.05,18.94,19.15,19.55
12-07_21,17.57,16.92,18.88,19.04,19.47
12-07_22,17.5,16.8,18.84,19.06,19.39
12-07_23,18.07,16.88,18.92,19.17,19.63
12-08_00,20.3,17.43,19.24,19.55,19.96
12-08_01,22.49,18.56,19.33,19.43,19.86
12-08_02,24.64,21.64,21.09,20.97,20.68
12-08_03,26.26,23.51,23.24,22.67,21.67
12-08_04,27.51,24.6,25.77,25.78,22.9
12-08_05,28.33,25.22,26.46,26.55,25.72
12-08_06,27.81,25.29,26.53,26.54,25.93
12-08_07,26.2,24.84,25.81,25.79,25.54
12-08_08,24.13,23.4,24.31,24.34,24.82
12-08_09,22,21.53,22.52,22.59,23.42
12-08_10,20.75,19.89,21.32,21.39,22.43
12-08_11,20.33,18.99,20.46,20.57,21.53
12-08_12,20.1,18.32,19.84,19.93,20.78
12-08_13,19.85,17.94,19.42,19.47,20.18
12-08_14,19.59,17.67,19.06,19.11,19.74
12-08_15,19.31,17.37,18.79,18.85,19.32
12-08_16,19.06,17.02,18.56,18.63,19.04
12-08_17,18.81,16.67,18.4,18.47,18.74
12-08_18,18.6,16.35,18.38,18.43,18.49
12-08_19,18.47,16.06,18.17,18.33,18.3
12-08_20,18.4,15.8,17.86,18.07,18.06
12-08_21,18.29,15.58,17.59,17.83,17.92
12-08_22,18.14,15.46,17.4,17.66,17.69
12-08_23,18.6,15.79,17.84,18.06,18.14
12-09_00,20.73,17.55,19.85,20.05,20.4
12-09_01,23.42,20.22,21.91,22.12,22.78
12-09_02,25.92,22.62,24.04,24.35,25.38
12-09_03,27.87,24.36,26.13,26.35,27.48
12-09_04,29.01,26.26,27.48,27.94,28.68
12-09_05,29.64,27.02,28.6,28.73,29.26
12-09_06,29.42,27.33,28.77,28.84,28.92
12-09_07,28.58,26.67,28.35,28.16,28.41
12-09_08,27.11,24.98,26.75,26.53,27.14
12-09_09,24.69,23.11,24.49,24.39,25.26
12-09_10,23.03,21.18,23.14,23.11,24.23
12-09_11,21.97,20.54,22.21,22.3,23.35
12-09_12,21.54,19.83,21.32,21.45,22.52
12-09_13,20.91,19.24,20.81,20.84,21.72
12-09_14,20.5,18.73,20.34,20.43,21.11
12-09_15,20.14,18.27,19.9,20.03,20.62
12-09_16,19.87,17.87,19.49,19.62,20.18
12-09_17,19.63,17.51,19.03,19.25,19.82
12-09_18,19.43,17.18,18.73,18.99,19.46
12-09_19,19.3,16.88,18.43,18.65,19.12
12-09_20,19.16,16.62,18.17,18.45,18.95
12-09_21,19,16.41,17.9,18.18,18.72
12-09_22,18.83,16.19,17.68,17.97,18.46
12-09_23,19.42,16.63,18.1,18.53,19.06
12-10_00,21.76,19.04,20.75,21.18,21.55
12-10_01,24.08,21.38,23.34,23.65,23.9
12-10_02,26.09,23.29,25.18,25.67,26.01
12-10_03,27.79,25,26.77,27.16,26.92
12-10_04,29.06,26.09,27.72,28.16,27.34
12-10_05,29.66,26.85,28.29,28.64,27.26
12-10_06,29.61,26.99,28.27,28.5,27.01
12-10_07,28.83,26.69,27.63,27.77,26.46
12-10_08,27.44,25.8,26.34,26.37,25.52
12-10_09,25.51,22.8,24.25,24.32,24.33
12-10_10,23.87,21.13,22.89,22.99,23.43
12-10_11,22.67,20.16,22.02,22.19,22.71
12-10_12,21.97,19.68,21.31,21.5,22.11
12-10_13,21.52,19.23,20.71,20.84,21.45
12-10_14,21.04,18.77,20.2,20.35,20.96
12-10_15,20.7,18.33,19.73,19.89,20.53
12-10_16,20.41,17.95,19.29,19.47,20.03
12-10_17,20.13,17.59,18.92,19.09,19.56
12-10_18,19.84,17.25,18.54,18.72,19.27
12-10_19,19.6,16.95,18.21,18.35,19
12-10_20,19.4,16.67,17.98,18.13,18.77
12-10_21,19.22,16.38,17.7,17.88,18.54
12-10_22,19.01,16.11,17.45,17.64,18.26
12-10_23,19.36,16.23,17.75,18.05,18.85
12-11_00,21.61,18.23,20.17,20.44,21.32
12-11_01,23.58,19.96,20.95,21.46,22.26
12-11_02,25.72,22.24,23.53,23.88,24.43
12-11_03,27.37,24.09,25.32,25.63,25.55
12-11_04,28.51,25.12,26.5,26.66,25.96
12-11_05,29.27,25.65,27.06,27.09,26.02
12-11_06,29.39,25.86,26.84,26.82,25.76
12-11_07,28.94,25.57,26.17,26.09,25.17
12-11_08,28.07,24.79,25.06,24.96,24.46
12-11_09,26.26,23.08,23.38,23.2,23.49
12-11_10,24.81,21.63,22.09,21.96,23.16
12-11_11,23.64,20.61,21.23,21.12,22.37
12-11_12,22.67,19.81,20.45,20.37,21.27
12-11_13,22.02,19.09,19.87,19.84,20.49
12-11_14,21.51,18.53,19.32,19.39,19.92
12-11_15,21.06,18.02,18.69,18.8,19.51
12-11_16,20.61,17.61,18.31,18.41,19.81
12-11_17,20.2,17.25,18,18.19,19.62
12-11_18,19.88,16.92,17.6,17.79,19.27
12-11_19,19.52,16.62,17.44,17.6,19
12-11_20,19.2,16.3,17.29,17.43,18.59
12-11_21,18.93,16.05,17.07,17.29,18.24
12-11_22,18.72,15.83,16.88,17.08,17.98
12-11_23,19.14,16.18,17.23,17.64,18.59
12-12_00,21.3,18.86,19.65,20.05,21.01
12-12_01,23.61,21.11,22.49,22.87,23.72
12-12_02,25.69,23.07,24.45,24.74,25.67
12-12_03,27.18,24.26,25.76,26,27.08
12-12_04,28.02,25.35,26.55,26.95,27.96
12-12_05,28,25.91,27.18,27.26,28.33
12-12_06,27.69,25.99,27.16,27.23,28.12
12-12_07,26.92,25.33,26.44,25.7,27.48
12-12_08,25.78,24.09,25.13,25.11,26.87
12-12_09,23.78,22.13,23.22,23.18,25.45
12-12_10,22.16,20.73,22.11,22.09,24.22
12-12_11,21.21,19.73,21.41,21.41,23.26
12-12_12,20.99,19.01,20.93,20.83,22.49
12-12_13,20.62,18.29,20.36,20.35,21.94
12-12_14,20.27,17.69,19.77,19.76,21.46
12-12_15,20,17.28,19.22,19.29,21.01
12-12_16,19.75,16.82,18.79,18.91,20.57
12-12_17,19.5,16.46,18.41,18.55,20.13
12-12_18,19.35,16.21,18.1,18.24,19.95
12-12_19,19.21,16,17.91,18.06,19.85
12-12_20,18.99,15.79,17.66,17.91,19.58
12-12_21,18.82,15.72,17.44,17.68,19.64
12-12_22,18.67,15.55,17.28,17.53,19.33
12-12_23,19.28,15.86,17.67,17.95,19.53
12-13_00,21.96,18.43,19.66,20.04,21.79
12-13_01,24.82,21.07,22.66,23.11,24.7
12-13_02,27,23.68,25.13,25.39,27.08
12-13_03,28.83,25.89,27.16,27.76,29.04
12-13_04,29.75,27.39,28.62,29.04,29.9
12-13_05,30,28.1,29.6,29.82,30.41
12-13_06,29.7,28.08,29.89,29.97,30.29
12-13_07,28.44,27.51,29.2,29.24,29.64
12-13_08,25.81,25.09,26.95,27.21,28.82
12-13_09,23.81,22,24.41,24.7,26.61
12-13_10,22.47,20.86,22.72,23.03,25.11
12-13_11,21.33,19.77,21.91,22.03,24.12
12-13_12,20.8,18.99,21.13,21.34,23.07
12-13_13,20.34,18.31,20.38,20.59,22.34
12-13_14,20.38,17.85,19.86,20.01,21.62
12-13_15,20.24,17.53,19.41,19.57,20.96
12-13_16,20.13,17.29,19.01,19.18,20.43
12-13_17,19.88,17.09,18.8,18.99,19.91
12-13_18,19.66,16.92,18.68,18.87,19.52
12-13_19,19.38,16.78,18.59,18.73,19.1
12-13_20,19.02,16.58,18.42,18.55,18.82
12-13_21,18.73,16.4,18.21,18.34,18.58
12-13_22,18.65,16.21,18.01,18.15,18.37
12-13_23,18.63,16.31,18.16,18.29,18.58
12-14_00,19.95,17.73,19.56,19.66,20.4
12-14_01,21.64,19.43,20.84,20.97,20.94
12-14_02,23.33,21.1,22.66,22.74,23.5
12-14_03,24.34,22.85,24.02,24.22,25.46
12-14_04,24.86,24.03,25.58,25.74,26.83
12-14_05,24.81,24.92,26.14,26.2,27.17
12-14_06,24.27,24.56,26.31,26.43,26.82
12-14_07,23.45,23.32,25.86,25.94,26.31
12-14_08,21.91,22.02,24.29,24.56,25.47
12-14_09,19.51,19.95,22.32,22.46,23.98
12-14_10,18.47,18.19,20.72,20.87,22.89
12-14_11,17.89,17.14,19.47,19.59,21.5
12-14_12,17.47,16.27,18.76,18.87,20.31
12-14_13,17.23,15.8,18.05,18.21,19.39
12-14_14,17.02,15.39,17.5,17.64,18.66
12-14_15,16.86,15.02,17.11,17.22,18.03
12-14_16,16.65,14.62,16.7,16.82,17.93
12-14_17,16.87,14.29,16.54,16.71,17.65
12-14_18,16.83,14.19,16.37,16.53,17.51
12-14_19,16.68,14.44,16.16,16.26,17.41
12-14_20,16.42,14.4,16.2,16.29,17.17
12-14_21,16.1,14.33,16.21,16.28,17
12-14_22,15.78,14.14,16.23,16.28,16.9
12-14_23,15.65,14.13,16.16,16.23,16.8
12-15_00,15.72,14.08,16.14,16.24,16.86
12-15_01,15.74,14.06,16.61,16.77,17.28
12-15_02,15.75,14.56,17.48,17.7,20.26
12-15_03,15.88,14.66,17.17,17.47,22.31
12-15_04,15.94,15.09,17.24,17.73,23.01
12-15_05,15.63,15.03,19.02,19.4,23.46
12-15_06,15.33,15.01,19.1,19.63,23.03
12-15_07,14.9,15.33,18.73,19.17,22.4
12-15_08,14.37,14.34,17.84,18.07,21.39
12-15_09,13.9,13.67,16.35,16.54,19.29
12-15_10,13.86,13.06,15.79,15.96,18.01
12-15_11,13.91,12.95,15.25,15.46,17.24
12-15_12,13.96,12.83,15.05,15.21,16.67
12-15_13,14.04,12.76,14.9,15.01,16.13
12-15_14,14.03,12.59,14.67,14.83,15.84
12-15_15,13.65,12.26,14.59,14.73,15.62
12-15_16,13.62,12.1,14.46,14.58,15.37
12-15_17,13.1,11.93,14.27,14.41,15.37
12-15_18,12.88,11.81,13.89,14.21,15.05
12-15_19,12.8,11.6,13.58,13.76,14.99
12-15_20,12.75,11.06,13.77,13.56,14.93
12-15_21,12.75,10.76,13.61,13.77,14.8
12-15_22,12.74,10.55,13.2,13.47,14.72
12-15_23,12.99,10.7,13.41,13.54,14.57
12-16_00,14.61,12.15,13.76,13.73,14.81
12-16_01,16.68,14.01,15.11,14.56,15.19
12-16_02,18.62,16.03,17.04,17.09,15.92
12-16_03,19.75,17.82,18.75,18.88,17.07
12-16_04,20.48,17.61,20.35,20.41,18.11
12-16_05,20.58,19.81,21.24,21.36,19.92
12-16_06,20.31,20.26,21.96,21.95,20.01
12-16_07,19.54,19.87,21.46,22.08,19.7
12-16_08,18.04,18.8,20.84,20.96,19.48
12-16_09,15.95,16.61,19.6,19.61,18.93
12-16_10,15.25,15.1,18.8,19.09,18.27
12-16_11,15.19,14.34,17.82,17.91,17.9
12-16_12,15.7,13.8,17.16,17.35,17.76
12-16_13,15.77,13.75,16.63,16.91,17.69
12-16_14,15.26,13.53,16.39,16.61,17.35
12-16_15,15.62,13.26,16.07,16.37,17.04
12-16_16,15,12.73,15.91,16.25,17
12-16_17,14.66,12.52,15.85,16.13,16.84
12-16_18,14.4,12.2,15.71,16.05,16.47
12-16_19,14.16,12.11,15.03,15.39,15.94
12-16_20,13.99,11.87,15.02,15.67,15.57
12-16_21,13.89,12.37,14.7,15.35,15.29
12-16_22,13.81,12.87,14.39,15.02,14.96
12-16_23,14.35,12.54,14.56,15.25,15.42
12-17_00,16.69,14.88,16.98,17.56,17.59
12-17_01,19.69,17.62,18.34,18.06,18.18
12-17_02,21.68,19.61,20.8,20.94,21.63
12-17_03,23.4,20.82,22.36,22.65,23.27
12-17_04,24.68,21.82,23.61,23.83,23.99
12-17_05,25.24,22.51,24.28,24.48,24.08
12-17_06,25.09,22.8,24.4,24.53,23.9
12-17_07,24.37,22.63,23.86,23.88,23.54
12-17_08,23.48,21.79,22.79,22.79,22.92
12-17_09,22,20.18,21.25,21.19,21.68
12-17_10,20.87,18.81,20.1,20.05,20.38
12-17_11,19.96,17.91,19.22,19.13,19.5
12-17_12,19.25,17.12,18.52,18.37,18.99
12-17_13,18.56,16.5,17.78,17.95,18.4
12-17_14,18.14,15.93,17.21,17.28,17.88
12-17_15,17.77,15.47,16.67,16.77,17.45
12-17_16,17.43,15.09,16.24,16.42,17.58
12-17_17,17.13,14.82,15.92,16.14,16.9
12-17_18,16.87,14.63,16.39,16.31,16.46
12-17_19,16.66,14.41,15.71,16.08,16.25
12-17_20,16.5,14.18,15.46,15.85,15.97
12-17_21,16.34,14.02,15.22,15.59,15.75
12-17_22,16.23,13.82,14.94,15.32,15.63
12-17_23,16.74,14.07,15.46,15.93,16.16
12-18_00,19.32,16.78,17.91,18.59,18.81
12-18_01,21.73,19.63,21.2,21.32,21.73
12-18_02,23.96,21.53,23.15,23.34,23.99
12-18_03,25.8,23.2,24.67,24.96,25.57
12-18_04,26.83,24.22,25.82,25.97,26.74
12-18_05,27.22,25.21,26.42,26.66,27.4
12-18_06,27.21,25.49,26.69,26.84,27.6
12-18_07,26.47,25.4,26.65,26.55,27.19
12-18_08,24.83,24.3,24.96,25.13,26.39
12-18_09,22.31,21.97,23.07,23.2,24.59
12-18_10,20.67,20.01,21.71,21.8,22.89
12-18_11,19.51,18.76,20.79,20.96,21.84
12-18_12,18.87,17.94,19.98,20.14,21.04
12-18_13,18.61,17.25,19.25,19.41,20.36
12-18_14,18.17,16.59,18.65,18.81,19.62
12-18_15,17.79,16.14,18.13,18.31,18.92
12-18_16,17.5,15.69,17.6,17.81,18.38
12-18_17,17.27,15.28,17.15,17.4,17.91
12-18_18,17.04,14.89,16.75,17.07,17.55
12-18_19,16.84,14.61,16.39,16.77,17.26
12-18_20,16.64,14.37,16.14,16.56,16.94
12-18_21,16.46,14.16,15.89,16.43,16.74
12-18_22,16.27,13.97,16.15,16.69,16.41
12-18_23,16.66,14.58,16.63,16.83,16.85
12-19_00,18.97,16.02,16.84,17.07,19.31
