17.6	13.3	13.8	12.7
16.2	7.4	4.7	14.1
14.4	3.5	6.8	222.0
11.2	-2.9	8.1	218.3
7.6	-5.3	7.6	235.3
3.4	-3.4	11.1	248.9
3.1	-11.7	17.7	257.4
3.2	-33.4	26.6	269.5
-1.0	-35.7	34.0	271.5
-5.9	-35.3	43.5	280.5
-6.8	-46.5	57.0	281.1
-7.4	-54.7	67.1	278.4
-12.8	-53.8	73.5	276.2
-21.1	-54.7	74.7	273.2
-30.6	-54.9	74.9	276.2
-40.6	-56.2	77.4	279.3
-52.1	-63.9	84.8	263.1
-64.8	-78.6	74.7	255.4
-79.3	-82.1	45.0	280.9

