SiteID,sampledate,AT,PM25,SO2,O3,NO2,NOx,NO,TEMP,RH,RF,WS,WD
C0,2019-07-31T00:00:00,25.10,15.85,2.20,9999,2.40,6.70,4.30,9999,9999,9999,0.40,237.00
C1,2019-07-31T00:00:00,29.80,25.62,2.20,9999,12.90,13.90,1.00,9999,9999,9999,2.00,173.80
C10,2019-07-31T00:00:00,24.80,24.53,0.50,9999,11.20,12.30,1.10,9999,9999,0.00,0.70,276.30
C12,2019-07-31T00:00:00,26.90,10.59,1.00,0.41,5.10,6.90,1.80,9999,86.00,0.00,1.60,278.70
C13,2019-07-31T00:00:00,27.00,12.05,9999,9999,9999,9999,9999,9999,9999,9999,0.30,41.70
C2,2019-07-31T00:00:00,25.30,9.13,3.50,9999,3.90,4.20,0.20,9999,9999,9999,0.10,284.80
C3,2019-07-31T00:00:00,24.30,12.01,3.30,9999,9.00,12.80,3.70,9999,9999,9999,0.70,180.20
C4,2019-07-31T00:00:00,25.00,10.09,2.00,9999,3.10,4.70,1.60,9999,9999,9999,0.60,225.90
C5,2019-07-31T00:00:00,28.50,8.69,3.60,9999,4.90,7.60,2.60,9999,9999,9999,0.60,257.00
C6,2019-07-31T00:00:00,29.90,13.44,3.30,9999,8.20,12.90,4.60,9999,9999,9999,0.80,197.30
C7,2019-07-31T00:00:00,27.60,16.02,2.40,9999,14.80,17.60,2.80,9999,9999,9999,0.70,182.20
C8,2019-07-31T00:00:00,27.80,23.01,2.70,9999,7.30,7.90,0.60,9999,80.60,9999,0.00,86.90
C9,2019-07-31T00:00:00,25.50,14.39,2.10,9999,11.20,13.40,2.20,9999,9999,0.00,0.20,71.50
C0,2019-07-31T01:00:00,25.80,12.97,1.50,9999,6.10,9.80,3.70,9999,9999,9999,1.10,199.00
C1,2019-07-31T01:00:00,29.90,28.56,1.80,9999,10.10,10.90,0.80,9999,9999,9999,1.90,184.30
C10,2019-07-31T01:00:00,24.20,24.53,0.10,9999,10.50,11.40,1.00,9999,9999,0.00,0.70,245.10
C12,2019-07-31T01:00:00,27.30,9.64,1.10,0.43,5.40,7.80,2.50,9999,85.30,0.00,2.00,277.80
C13,2019-07-31T01:00:00,27.00,13.61,9999,9999,9999,9999,9999,9999,9999,9999,0.10,78.10
C2,2019-07-31T01:00:00,27.90,8.17,4.20,9999,6.20,6.60,0.30,9999,9999,9999,0.30,226.10
C3,2019-07-31T01:00:00,23.90,16.81,3.60,9999,8.70,12.50,3.90,9999,9999,9999,0.50,173.50
C4,2019-07-31T01:00:00,25.80,15.85,2.10,9999,5.70,7.80,2.20,9999,9999,9999,0.50,175.90
C5,2019-07-31T01:00:00,28.60,5.84,4.40,9999,3.90,6.60,2.70,9999,9999,9999,0.80,270.50
C6,2019-07-31T01:00:00,30.20,18.19,2.80,9999,6.80,12.50,5.60,9999,9999,9999,0.90,193.50
C7,2019-07-31T01:00:00,27.60,21.17,2.00,9999,12.80,15.50,2.70,9999,9999,9999,0.50,174.20
C8,2019-07-31T01:00:00,27.60,27.71,3.00,9999,6.30,6.70,0.30,9999,79.10,9999,0.20,94.50
C9,2019-07-31T01:00:00,25.60,13.44,2.80,9999,14.40,16.50,2.20,9999,9999,0.00,0.60,138.70
C0,2019-07-31T02:00:00,25.50,28.33,1.60,9999,4.00,8.30,4.40,9999,9999,9999,0.70,190.40
C1,2019-07-31T02:00:00,29.90,28.56,3.30,9999,7.90,9.60,1.60,9999,9999,9999,1.00,156.00
C10,2019-07-31T02:00:00,24.30,27.53,9999,9999,9.80,10.70,0.80,9999,9999,0.00,0.90,189.80
C12,2019-07-31T02:00:00,27.20,14.39,1.50,0.56,12.10,15.30,3.20,9999,84.70,0.00,1.00,129.50
C13,2019-07-31T02:00:00,27.10,14.39,9999,9999,9999,9999,9999,9999,9999,9999,0.50,35.60
C2,2019-07-31T02:00:00,28.70,13.93,3.80,9999,8.20,9.30,1.00,9999,9999,9999,0.60,210.60
C3,2019-07-31T02:00:00,24.10,16.81,3.30,9999,9.60,12.30,2.60,9999,9999,9999,0.50,138.20
C4,2019-07-31T02:00:00,25.90,29.29,2.80,9999,3.60,4.90,1.50,9999,9999,9999,0.80,157.90
C5,2019-07-31T02:00:00,28.60,3.94,3.70,9999,9.60,11.30,1.80,9999,9999,9999,0.80,224.30
C6,2019-07-31T02:00:00,30.00,18.19,4.10,9999,7.30,13.10,5.90,9999,9999,9999,0.50,169.20
C7,2019-07-31T02:00:00,27.60,23.23,5.50,9999,8.70,11.50,2.70,9999,9999,9999,0.20,166.20
C8,2019-07-31T02:00:00,27.80,20.19,2.80,9999,4.80,5.40,0.60,9999,78.90,9999,0.10,88.60
C9,2019-07-31T02:00:00,25.50,19.14,2.30,9999,9.90,12.20,2.20,9999,9999,0.20,0.40,149.80
C0,2019-07-31T03:00:00,25.60,24.49,1.20,9999,7.20,11.60,4.40,9999,9999,9999,0.30,180.00
C1,2019-07-31T03:00:00,29.90,25.62,3.80,9999,7.00,8.20,1.20,9999,9999,9999,1.30,168.00
C10,2019-07-31T03:00:00,24.40,31.28,9999,9999,11.40,12.50,1.10,9999,9999,0.00,0.50,177.10
C12,2019-07-31T03:00:00,27.10,26.74,1.20,0.61,13.10,15.70,2.60,9999,85.10,0.00,1.30,134.20
C13,2019-07-31T03:00:00,27.10,14.39,9999,9999,9999,9999,9999,9999,9999,9999,0.40,38.90
C2,2019-07-31T03:00:00,29.00,20.65,5.20,9999,9.40,11.50,2.10,9999,9999,9999,1.00,209.20
C3,2019-07-31T03:00:00,23.90,29.29,3.50,9999,11.20,14.50,3.30,9999,9999,9999,0.50,142.00
C4,2019-07-31T03:00:00,25.80,23.53,2.60,9999,7.30,9.10,1.80,9999,9999,9999,0.70,168.10
C5,2019-07-31T03:00:00,28.60,9.64,3.40,9999,9.90,11.40,1.50,9999,9999,9999,0.60,191.60
C6,2019-07-31T03:00:00,29.80,19.14,3.60,9999,6.00,11.40,5.50,9999,9999,9999,0.60,156.80
C7,2019-07-31T03:00:00,27.90,18.08,3.70,9999,7.20,9.90,2.80,9999,9999,9999,0.10,180.00
C8,2019-07-31T03:00:00,27.70,20.19,2.70,9999,3.80,4.40,0.60,9999,80.20,9999,0.00,148.40
C9,2019-07-31T03:00:00,25.50,24.84,2.30,9999,11.40,13.30,2.00,9999,9999,0.00,0.40,99.50
C0,2019-07-31T04:00:00,25.30,24.49,1.20,9999,5.90,10.50,4.80,9999,9999,9999,0.20,170.60
C1,2019-07-31T04:00:00,28.10,23.66,2.60,9999,9999,9999,9999,9999,9999,9999,0.70,106.80
C10,2019-07-31T04:00:00,26.30,33.53,9999,9999,16.20,17.40,1.30,9999,9999,0.00,0.70,170.10
C12,2019-07-31T04:00:00,27.10,25.79,1.10,0.60,11.00,14.20,3.20,9999,85.20,0.00,1.20,138.60
C13,2019-07-31T04:00:00,27.10,18.29,9999,9999,9999,9999,9999,9999,9999,9999,0.60,5.80
C2,2019-07-31T04:00:00,29.00,20.65,5.40,9999,11.50,13.40,1.80,9999,9999,9999,0.10,127.30
C3,2019-07-31T04:00:00,24.00,25.45,3.80,9999,10.40,13.70,3.20,9999,9999,9999,0.60,108.00
C4,2019-07-31T04:00:00,25.70,21.61,2.60,9999,6.80,8.70,1.80,9999,9999,9999,0.30,155.80
C5,2019-07-31T04:00:00,28.50,12.49,3.50,9999,9999,9999,9999,9999,9999,9999,0.50,197.10
C6,2019-07-31T04:00:00,30.20,23.89,3.00,9999,5.10,10.70,5.60,9999,9999,9999,0.50,187.50
C7,2019-07-31T04:00:00,27.90,16.02,3.20,9999,5.60,8.20,2.60,9999,9999,9999,0.10,182.70
C8,2019-07-31T04:00:00,27.80,20.19,2.30,9999,3.30,4.10,0.80,9999,80.90,9999,0.10,180.20
C9,2019-07-31T04:00:00,25.30,23.89,2.50,9999,13.40,15.40,1.80,9999,9999,0.00,0.50,80.80
C0,2019-07-31T05:00:00,25.10,26.41,1.60,9999,5.50,10.00,4.40,9999,9999,9999,0.00,185.10
C1,2019-07-31T05:00:00,27.90,14.84,1.80,9999,4.40,4.60,0.20,9999,9999,9999,0.30,177.80
C10,2019-07-31T05:00:00,26.20,42.53,9999,9999,16.00,17.60,1.60,9999,9999,0.00,0.40,159.90
C12,2019-07-31T05:00:00,26.90,27.69,0.10,0.51,10.20,13.70,3.40,9999,84.20,0.00,0.60,179.10
C13,2019-07-31T05:00:00,27.30,18.29,9999,9999,9999,9999,9999,9999,9999,9999,0.20,41.00
C2,2019-07-31T05:00:00,28.80,20.65,5.40,9999,9.30,10.90,1.60,9999,9999,9999,0.10,57.80
C3,2019-07-31T05:00:00,23.80,26.41,3.90,9999,10.40,13.70,3.30,9999,9999,9999,0.20,107.50
C4,2019-07-31T05:00:00,25.60,20.65,2.60,9999,4.80,6.20,1.30,9999,9999,9999,0.10,170.40
C5,2019-07-31T05:00:00,28.60,6.79,3.90,9999,9999,9999,9999,9999,9999,9999,0.50,223.80
C6,2019-07-31T05:00:00,30.00,19.14,4.10,9999,5.40,12.30,6.80,9999,9999,9999,0.40,192.60
C7,2019-07-31T05:00:00,27.90,18.08,3.10,9999,6.20,8.70,2.40,9999,9999,9999,0.00,220.40
C8,2019-07-31T05:00:00,27.60,20.19,2.20,9999,3.50,3.80,0.30,9999,82.80,9999,0.10,153.60
