hr,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
01,1005.3,1006.4,28.8,25.5,82,1.9,150,3.9,190,0.0,0.0,...,0.00,...,...,...
02,1005.2,1006.3,28.5,25.2,82,2.4,130,3.8,120,0.0,0.0,...,0.00,...,...,...
03,1004.9,1006.0,28.4,25.0,82,2.3,120,4.4,120,0.0,0.0,...,0.00,...,...,...
04,1005.0,1006.1,27.5,24.3,83,0.3,80,3.3,100,0.0,0.0,...,0.00,...,...,...
05,1004.9,1006.0,27.1,24.1,84,0.4,80,3.4,120,0.0,0.0,...,0.00,...,...,...
06,1005.1,1006.2,27.4,24.1,82,1.1,90,2.9,70,0.0,0.0,0.0,0.00,...,...,...
07,1005.3,1006.4,28.5,24.6,79,1.7,140,4.2,160,0.0,0.0,0.0,0.27,...,...,...
08,1005.3,1006.4,29.7,25.7,79,1.8,140,3.3,130,0.0,0.0,1.0,0.87,...,...,...
09,1005.8,1006.9,30.9,26.6,78,0.9,150,4.0,150,0.0,0.0,0.6,1.52,...,...,...
10,1005.6,1006.7,32.3,25.9,69,2.3,250,4.7,210,0.0,0.0,0.3,1.93,...,...,...
11,1005.3,1006.4,33.0,25.7,66,2.6,270,6.6,260,0.0,0.0,1.0,2.20,...,...,...
12,1004.7,1005.8,32.9,25.5,65,2.6,300,6.2,220,0.0,0.0,0.9,2.64,...,...,...
13,1003.9,1005.0,34.5,24.7,57,3.0,240,6.0,230,0.0,0.0,1.0,3.01,...,...,...
14,1004.0,1005.1,33.2,25.1,63,4.4,240,7.0,270,0.0,0.0,1.0,2.42,...,...,...
15,1003.4,1004.5,32.7,25.2,65,2.8,240,6.7,260,0.0,0.0,0.5,1.70,...,...,...
16,1003.1,1004.2,32.3,25.3,67,2.4,240,5.6,230,0.0,0.0,0.1,1.25,...,...,...
17,1003.2,1004.3,31.7,24.9,67,3.4,250,5.7,240,0.0,0.0,0.0,0.68,...,...,...
18,1003.2,1004.3,31.1,25.0,70,3.1,240,4.6,240,0.0,0.0,0.1,0.50,...,...,...
19,1003.5,1004.6,30.6,24.8,71,2.6,240,4.3,240,0.0,0.0,0.1,0.02,...,...,...
20,1004.0,1005.1,30.3,24.8,72,2.5,210,4.3,230,0.0,0.0,...,0.00,...,...,...
21,1004.2,1005.3,30.0,25.0,75,2.9,210,4.9,200,0.0,0.0,...,0.00,...,...,...
22,1004.6,1005.7,30.0,24.8,74,2.6,200,4.9,200,0.0,0.0,...,0.00,...,...,...
23,1004.6,1005.7,29.3,25.2,79,2.6,150,4.1,200,0.0,0.0,...,0.00,...,...,...
24,1004.5,1005.6,29.1,25.2,80,2.6,160,4.8,170,0.0,0.0,...,0.00,...,...,...
