hr,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
01,1006.8,1007.9,28.8,25.6,83,0.9,310,2.4,320,0.0,0.0,...,0.00,...,...,...
02,1006.4,1007.5,28.7,25.4,82,0.1,0,1.9,310,0.0,0.0,...,0.00,...,...,...
03,1006.3,1007.4,28.2,25.4,85,0.6,110,2.2,110,0.0,0.0,...,0.00,...,...,...
04,1006.2,1007.3,27.8,25.1,85,0.8,120,2.0,110,0.0,0.0,...,0.00,...,...,...
05,1006.2,1007.3,27.7,25.0,85,0.7,90,2.1,100,0.0,0.0,...,0.00,...,...,...
06,1006.6,1007.7,27.7,25.2,86,0.4,90,1.9,100,0.0,0.0,0.0,0.00,...,...,...
07,1007.1,1008.2,28.3,25.4,84,0.5,70,2.1,50,0.0,0.0,0.3,0.52,...,...,...
08,1007.3,1008.4,30.4,27.0,82,0.5,40,2.2,60,0.0,0.0,1.0,1.30,...,...,...
09,1007.5,1008.6,31.5,25.9,72,2.1,320,4.8,210,0.0,0.0,0.4,1.55,...,...,...
10,1007.4,1008.5,32.3,26.5,72,3.0,240,5.9,230,0.0,0.0,0.6,2.57,...,...,...
11,1006.9,1008.0,32.9,26.7,70,4.1,240,7.8,240,0.0,0.0,1.0,2.42,...,...,...
12,1006.5,1007.6,33.5,26.7,68,4.7,240,7.9,270,0.0,0.0,1.0,3.36,...,...,...
13,1006.3,1007.4,33.4,25.6,64,4.6,240,8.5,260,0.0,0.0,1.0,3.60,...,...,...
14,1005.8,1006.9,33.8,25.9,64,4.1,250,7.9,250,0.0,0.0,1.0,3.21,...,...,...
15,1005.3,1006.4,33.0,24.9,63,5.6,240,8.1,230,0.0,0.0,1.0,2.92,...,...,...
16,1005.2,1006.3,32.3,26.3,71,5.3,240,8.8,240,0.0,0.0,1.0,2.26,...,...,...
17,1005.3,1006.4,31.9,25.7,70,4.4,280,7.8,260,0.0,0.0,0.9,1.40,...,...,...
18,1005.5,1006.6,30.5,25.5,75,2.2,280,5.9,280,0.0,0.0,0.9,0.71,...,...,...
19,1005.8,1006.9,30.0,25.5,77,1.7,280,4.1,240,0.0,0.0,0.4,0.08,...,...,...
20,1006.2,1007.3,29.4,25.1,78,0.5,290,3.1,290,0.0,0.0,...,0.00,...,...,...
21,1006.4,1007.5,29.4,25.3,79,1.1,230,2.5,250,0.0,0.0,...,0.00,...,...,...
22,1006.6,1007.7,29.3,25.2,79,1.3,270,2.4,230,0.0,0.0,...,0.00,...,...,...
23,1006.5,1007.6,29.3,25.4,80,0.8,260,2.0,270,0.0,0.0,...,0.00,...,...,...
24,1006.0,1007.1,29.3,25.1,78,0.6,200,2.2,200,0.0,0.0,...,0.00,...,...,...
