日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2019/01/01,東站,O3,13.8,12.4,12.7,C11.6,9.0,7.8,9.6,14.6,16.6,19.1,21.2,30.5,39.7,45.9,48.3,46.8,41.2,35.4,29.2,22.6,19.9,20.4,20.1,16.8
2019/01/02,東站,O3,15.9,16.2,18.1,C13,10.5,11.7,12.7,11.4,14.1,16.7,18.4,21.8,27.4,30.4,32.2,32.4,24.5,18.2,17.1,21.3,16.9,13.4,10.9,11.3
2019/01/03,東站,O3,10.8,9.4,9.7,C9.3,8.4,6.3,5.7,6.1,10.6,16.2,21.5,26.1,31.6,36.9,39.9,39.7,34.0,26.9,22.6,20.4,13.4,10.7,13.1,11.9
2019/01/04,東站,O3,8.6,7.9,10.4,C8.6,3.8,3.0,3.0,3.4,4.8,7.7,20.7,33.5,40.9,54.0,M50.5,49.2,45.6,40.0,34.0,30.6,27.6,22.6,19.8,12.8
2019/01/05,東站,O3,9.4,6.8,4.2,C3.4,2.7,2.8,3.0,4.1,7.7,15.7,30.4,51.6,61.0,64.7,62.9,61.2,47.7,33.9,27.4,21.7,18.7,17.0,13.8,7.6
2019/01/06,東站,O3,4.8,3.4,4.5,C3.4,3.1,4.7,5.7,6.5,7.9,10.8,18.8,27.9,45.0,53.1,55.8,58.4,52.4,46.3,38.0,32.1,25.1,21.3,18.0,15.6
2019/01/07,東站,O3,15.3,14.3,12.1,C9.4,7.1,5.5,6.6,7.6,9.9,16.4,26.3,41.8,52.2,53.9,57.6,52.8,49.3,46.0,38.2,34.0,29.7,26.2,23.1,22.1
2019/01/08,東站,O3,22.4,21.0,18.9,C20.1,18.7,19.8,15.5,19.5,18.0,19.2,24.2,31.3,43.4,47.0,46.4,47.4,44.5,40.3,34.2,25.1,21.9,19.4,17.9,18.7
2019/01/09,東站,O3,18.8,19.0,19.3,C18.2,12.7,12.1,11.0,12.8,17.5,22.2,29.6,40.7,53.8,57.9,65.2,63.9,63.3,52.5,42.5,36.3,29.8,23.3,21.7,19.6
2019/01/10,東站,O3,15.1,16.5,15.4,C16.3,10.0,6.4,5.6,7.8,12.5,20.3,37.7,55.9,61.1,55.6,63.2,55.8,44.1,32.1,26.9,19.5,13.0,5.8,7.0,8.5
2019/01/11,東站,O3,9.0,8.1,6.6,C8.8,8.9,7.5,5.4,5.6,10.7,20.7,32.9,54.1,67.6,70.3,68.4,62.8,44.6,26.5,18.5,15.5,11.6,8.1,4.6,3.7
2019/01/12,東站,O3,2.8,2.9,3.2,C4.1,3.0,3.0,3.0,3.6,5.5,11.7,22.9,40.4,55.2,60.5,56.8,48.0,38.1,34.7,33.2,29.0,11.6,5.6,3.1,2.8
2019/01/13,東站,O3,3.0,3.0,3.1,C6.1,4.7,4.7,6.3,9.0,11.3,16.6,27.5,42.1,51.4,55.7,59.6,57.4,52.0,41.0,29.5,20.6,17.3,13.3,13.0,13.4
