日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017/01/29,東站,O3,23.2,20.2,9.9,10.2,10.8,10.0,11.7,20.0,19.8,20.9,36.2,49.2,56.6,61.6,62.3,60.6,56.5,46.5,47.7,41.6,36.5,29.8,24.8,28.1
2017/01/30,東站,O3,27.3,21.0,20.4,20.2,18.2,16.0,7.7,6.4,18.7,27.4,50.6,62.0,58.2,57.3,62.7,54.5,43.4,37.4,27.1,20.5,18.5,18.8,18.6,20.5
2017/01/31,東站,O3,22.4,24.8,27.3,26.4,25.3,24.4,25.4,26.2,26.6,26.9,29.5,35.9,45.7,52.1,51.3,45.9,42.4,38.5,32.1,25.6,22.5,20.6,17.5,16.9
2017/02/01,東站,O3,19.2,20.3,18.0,14.9,19.9,22.7,18.7,15.3,15.6,20.0,27.4,32.1,37.6,43.4,46.7,42.7,36.2,33.4,28.8,25.6,23.3,24.7,24.5,26.3
2017/02/02,東站,O3,26.9,25.3,22.4,24.1,22.8,22.3,20.6,19.2,21.6,24.0,25.5,26.9,30.6,M38.8,50.5,56.7,54.0,47.1,39.8,31.5,24.0,21.8,18.8,19.2
2017/02/03,東站,O3,17.5,13.7,11.9,12.3,11.5,3.3,5.5,6.6,11.8,21.1,31.8,48.3,61.8,63.5,55.3,61.6,58.1,51.7,41.4,34.7,30.6,25.1,26.3,25.3
2017/02/04,東站,O3,23.5,26.0,24.9,21.8,20.3,21.1,19.6,21.4,18.4,P,P,P,P,P,P,P,P,P31.8,21.7,18.4,20.8,18.7,14.2,11.1
2017/02/05,東站,O3,10.4,8.8,7.1,4.8,4.8,6.7,4.6,7.7,12.6,19.7,28.6,34.5,36.3,36.8,35.1,35.4,37.7,33.4,29.5,21.6,18.6,14.4,8.4,3.1
2017/02/06,東站,O3,3.6,4.5,3.2,4.4,4.1,5.6,6.9,7.9,9.0,18.3,24.6,34.7,49.1,65.0,72.6,76.1,69.3,57.1,46.9,40.1,32.0,25.6,22.2,19.5
2017/02/07,東站,O3,20.5,18.8,19.1,18.5,16.1,17.6,13.6,9.6,15.1,20.9,33.1,40.0,46.8,59.2,67.0,p,p,p,44.8,36.9,36.8,35.1,31.3,26.3
2017/02/08,東站,O3,24.6,23.0,16.2,11.0,10.6,11.4,10.4,15.9,16.9,26.6,35.5,52.3,58.3,58.2,59.6,59.1,55.8,51.1,45.7,34.8,24.8,19.4,16.5,15.9
2017/02/09,東站,O3,24.2,25.0,33.0,33.1,32.4,29.9,27.0,25.2,23.3,24.2,30.6,36.5,39.2,43.4,49.4,43.2,35.9,35.3,32.3,30.5,30.1,29.9,30.8,31.7
2017/02/10,東站,O3,40.9,42.1,40.6,38.6,39.6,36.5,35.8,35.7,34.2,35.1,37.8,40.5,49.3,55.5,59.6,60.4,49.3,40.7,35.4,31.9,30.2,29.5,32.9,31.6
2017/02/11,東站,O3,32.0,30.9,28.4,28.4,28.6,28.4,26.5,21.5,20.3,22.1,19.3,21.7,21.2,23.7,23.9,20.3,19.7,19.7,14.3,11.2,11.8,11.9,20.8,19.7
2017/02/12,東站,O3,16.5,15.9,13.5,16.5,17.7,13.9,16.6,13.8,15.0,21.0,31.0,42.2,49.8,56.4,54.9,48.5,51.1,50.5,45.3,42.1,34.9,32.1,28.7,21.7
