GMT00    GMT08,台北,板橋,新竹,宜蘭,花蓮,梧棲,台中,嘉義,永康,台南,台東,高雄,恆春
12-01-00 12-01-08,19.73935483870968,19.52064516129032,18.756129032258066,19.446774193548386,21.654516129032253,19.37419354838709,19.35516129032258,17.81677419354839,19.021290322580644,19.483870967741936,22.287096774193547,21.796774193548387,22.783548387096776
12-01-01 12-01-09,20.710967741935487,20.5458064516129,20.08516129032258,20.08483870967742,22.291612903225797,20.609999999999996,21.054838709677412,19.09516129032258,20.209032258064518,20.627096774193546,23.14903225806451,22.9158064516129,23.58096774193549
12-01-02 12-01-10,21.477096774193544,21.379354838709677,21.179032258064513,20.539032258064523,22.752903225806445,21.56903225806452,22.70935483870968,20.779032258064515,21.865161290322582,22.0983870967742,23.860645161290318,24.316774193548397,24.39999999999999
12-01-03 12-01-11,22.048387096774196,21.90258064516129,21.938387096774196,20.80516129032258,23.035806451612903,22.096451612903227,23.974516129032253,22.22483870967742,23.248387096774195,23.40709677419355,24.413225806451617,25.29258064516129,24.9316129032258
12-01-04 12-01-12,22.24161290322581,22.290967741935475,22.26032258064516,21.047096774193548,23.102580645161293,22.319999999999997,24.76677419354838,23.374838709677416,24.39,24.537419354838708,24.54967741935484,25.877419354838715,25.263548387096776
12-01-05 12-01-13,22.309354838709677,22.394193548387094,22.391290322580645,21.01612903225806,23.014516129032263,22.384516129032253,25.180645161290315,24.083870967741934,25.059354838709677,25.079354838709676,24.432580645161288,26.272580645161284,25.367419354838713
12-01-06 12-01-14,22.06967741935484,22.19967741935483,22.211612903225806,20.82129032258065,22.94032258064517,22.212903225806457,25.267419354838704,24.342580645161295,25.166129032258052,25.170967741935485,24.28935483870967,26.442258064516135,25.21645161290322
12-01-07 12-01-15,21.590322580645164,21.718387096774197,21.705483870967747,20.546129032258058,22.646129032258063,21.88322580645161,24.715806451612906,23.974838709677414,24.7458064516129,24.73354838709677,23.99322580645161,26.325483870967748,24.78322580645162
12-01-08 12-01-16,20.962903225806453,21.05741935483871,20.858064516129033,20.226451612903226,22.390967741935487,21.326451612903227,23.700967741935486,22.895161290322587,23.859999999999996,23.90451612903226,23.456451612903223,26.01193548387097,24.13032258064516
12-01-09 12-01-17,20.139032258064514,20.16322580645161,19.617096774193545,19.80258064516129,22.091612903225812,20.521935483870973,22.20709677419354,21.48677419354839,22.59548387096774,22.773548387096767,22.89774193548387,25.556451612903224,23.42870967741936
12-01-10 12-01-18,19.633870967741938,19.630000000000003,19.10645161290323,19.526774193548384,21.895161290322577,19.955483870967743,21.216774193548385,20.31032258064516,21.707419354838706,21.93225806451613,22.51193548387097,25.32032258064517,23.09903225806452
12-01-11 12-01-19,19.378064516129033,19.362903225806452,18.816129032258065,19.357419354838704,21.707741935483874,19.670645161290324,20.718064516129033,19.51419354838709,21.119032258064514,21.367741935483867,22.218709677419355,24.91677419354839,22.758709677419358
12-01-12 12-01-20,19.219354838709677,19.12709677419355,18.6441935483871,19.260645161290324,21.610967741935486,19.559999999999995,20.40806451612903,19.150645161290324,20.590322580645157,20.87870967741935,21.982903225806453,24.468064516129033,22.48774193548387
12-01-13 12-01-21,19.01193548387096,18.952903225806455,18.445806451612903,19.078709677419354,21.513870967741934,19.451935483870965,20.196129032258064,18.716451612903228,20.15322580645161,20.45774193548387,21.88612903225806,23.91645161290322,22.24806451612903
12-01-14 12-01-22,18.949032258064516,18.730967741935483,18.276451612903227,18.88354838709677,21.403870967741934,19.306129032258067,19.9441935483871,18.25806451612903,19.768064516129023,20.07354838709677,21.69387096774194,23.340322580645168,22.002580645161295
12-01-15 12-01-23,18.547096774193545,18.585161290322585,18.036129032258064,18.753225806451614,21.21354838709678,19.139032258064514,19.599032258064515,17.83032258064516,19.34967741935484,19.65483870967742,21.524193548387096,22.68225806451613,21.812903225806448
12-01-16 12-01-24,18.490645161290324,18.461935483870967,17.82645161290323,18.555483870967738,21.029677419354844,18.887096774193548,19.211612903225806,17.353870967741937,18.978064516129038,19.272903225806452,21.37806451612903,22.079677419354834,21.617419354838713
12-01-17 12-02-01,18.49806451612903,18.380322580645164,17.668064516129032,18.496451612903225,20.91290322580645,18.807096774193546,18.96709677419355,17.22709677419355,18.784193548387098,19.06032258064516,21.436129032258062,21.751935483870962,21.610645161290325
12-01-18 12-02-02,18.399677419354838,18.05741935483871,17.461935483870967,18.48193548387097,20.773225806451606,18.453225806451613,18.674838709677417,16.919999999999998,18.51612903225806,18.808709677419348,21.28225806451613,21.34580645161291,21.46322580645161
12-01-19 12-02-03,18.259354838709672,18.09741935483871,17.257096774193545,18.293870967741938,20.75870967741936,18.330000000000002,18.492258064516133,16.799999999999997,18.31419354838709,18.622903225806454,21.151612903225807,21.05967741935483,21.387096774193544
12-01-20 12-02-04,18.044838709677414,17.891612903225806,17.037419354838708,18.071612903225805,20.592903225806452,18.026774193548388,17.980967741935483,16.637096774193548,18.01741935483871,18.260000000000005,20.853870967741933,20.664838709677422,21.23225806451613
12-01-21 12-02-05,17.749354838709678,17.665806451612898,16.867096774193552,17.84903225806451,20.539677419354845,17.81483870967741,17.747096774193555,16.53903225806452,17.86774193548387,18.06774193548387,20.745161290322578,20.421612903225807,21.23354838709678
12-01-22 12-02-06,17.74290322580645,17.592903225806452,16.77516129032258,17.905161290322578,20.585161290322585,17.908387096774188,17.865806451612904,16.55677419354839,17.809677419354834,18.12483870967742,20.910645161290322,20.468064516129036,21.30903225806451
12-01-23 12-02-07,18.38193548387097,18.1183870967742,17.275483870967744,18.34612903225807,20.87193548387097,18.36709677419355,18.19870967741935,16.807096774193543,17.981612903225802,18.431290322580644,21.410000000000004,20.79935483870968,21.626129032258063
