GMT00    GMT08,台北,板橋,新竹,宜蘭,花蓮,梧棲,台中,嘉義,永康,台南,台東,高雄,恆春
12-01-00 12-01-08,19.470967741935485,18.85161290322581,18.56129032258064,18.532258064516125,18.774193548387096,18.774193548387096,18.93548387096774,18.632258064516126,18.664516129032254,19.225806451612907,20.838709677419356,21.425806451612907,23.68064516129032
12-01-01 12-01-09,20.329032258064515,19.583870967741937,19.941935483870967,19.33548387096774,19.983870967741943,19.983870967741943,20.612903225806452,20.358064516129033,20.074193548387093,20.367741935483867,22.3516129032258,22.906451612903222,24.39354838709677
12-01-02 12-01-10,21.129032258064512,20.61935483870968,20.96451612903226,20.05806451612903,20.741935483870968,20.741935483870968,22.251612903225816,22.161290322580644,21.490322580645163,21.66774193548387,23.51612903225806,24.374193548387098,24.99354838709677
12-01-03 12-01-11,21.74838709677419,21.516129032258064,21.71935483870968,20.451612903225797,21.374193548387094,21.374193548387094,23.406451612903226,23.46451612903226,22.912903225806453,22.948387096774198,24.17096774193548,25.080645161290324,25.38709677419355
12-01-04 12-01-12,21.93548387096774,21.83870967741935,21.98064516129032,20.77419354838709,21.51290322580645,21.51290322580645,24.309677419354845,24.658064516129034,23.970967741935485,23.980645161290322,24.554838709677416,25.454838709677418,25.629032258064512
12-01-05 12-01-13,22.035483870967738,22.01935483870968,21.958064516129035,20.906451612903226,21.51935483870968,21.51935483870968,24.558064516129033,25.203225806451613,24.48064516129032,24.3741935483871,24.5516129032258,25.65161290322581,25.467741935483872
12-01-06 12-01-14,21.877419354838707,21.829032258064515,21.574193548387093,20.858064516129033,21.35806451612903,21.35806451612903,24.48064516129032,25.325806451612905,24.645161290322577,24.580645161290324,24.374193548387098,25.77096774193549,25.26451612903226
12-01-07 12-01-15,21.56451612903227,21.567741935483877,21.258064516129036,20.66129032258064,20.954838709677418,20.954838709677418,23.767741935483873,24.90322580645161,24.145161290322584,24.212903225806453,23.92903225806451,25.380645161290325,24.996774193548386
12-01-08 12-01-16,20.980645161290322,21.03870967741935,20.774193548387103,20.238709677419358,20.429032258064513,20.429032258064513,22.712903225806457,23.70645161290323,23.18709677419354,23.564516129032263,23.109677419354835,24.883870967741935,24.538709677419355
12-01-09 12-01-17,20.406451612903226,20.458064516129035,20.08709677419354,19.7741935483871,19.977419354838705,19.977419354838705,21.632258064516126,22.14193548387097,22.070967741935487,22.499999999999996,22.519354838709674,24.24193548387097,23.89354838709677
12-01-10 12-01-18,19.990322580645163,19.948387096774198,19.416129032258063,19.203225806451623,19.522580645161288,19.522580645161288,20.754838709677415,20.758064516129032,21.03870967741935,21.551612903225806,22.122580645161293,23.783870967741937,23.599999999999998
12-01-11 12-01-19,19.8,19.66129032258064,19.212903225806453,18.89032258064516,19.24516129032258,19.24516129032258,20.087096774193554,19.96451612903226,20.345161290322583,20.922580645161286,21.8,23.403225806451616,23.483870967741947
12-01-12 12-01-20,19.67741935483871,19.522580645161295,19.02258064516129,18.66774193548387,18.996774193548394,18.996774193548394,19.677419354838708,19.512903225806454,19.80322580645161,20.39677419354839,21.561290322580643,23.077419354838707,23.332258064516132
12-01-13 12-01-21,19.667741935483868,19.51935483870968,18.838709677419356,18.545161290322582,18.838709677419352,18.838709677419352,19.319354838709682,19.003225806451614,19.419354838709683,20.070967741935487,21.28064516129032,22.645161290322584,23.283870967741937
12-01-14 12-01-22,19.587096774193547,19.416129032258063,18.674193548387098,18.419354838709676,18.661290322580648,18.661290322580648,18.970967741935482,18.72258064516129,19.129032258064516,19.76774193548387,21.05806451612904,22.20322580645161,23.235483870967744
12-01-15 12-01-23,19.60322580645161,19.312903225806455,18.5,18.229032258064517,18.477419354838716,18.477419354838716,18.735483870967744,18.416129032258066,18.86451612903226,19.47096774193549,20.767741935483865,21.893548387096775,23.177419354838708
12-01-16 12-01-24,19.5,19.190322580645162,18.35161290322581,18.16451612903226,18.39677419354838,18.39677419354838,18.53548387096774,18.161290322580648,18.641935483870967,19.26774193548387,20.53548387096774,21.51290322580645,23.19677419354839
12-01-17 12-02-01,19.338709677419356,19.141935483870967,18.23870967741935,18.16774193548387,18.36451612903226,18.335483870967746,18.364516129032257,17.94193548387097,18.4258064516129,19.080645161290327,20.451612903225808,21.283870967741933,23.08064516129032
12-01-18 12-02-02,19.28709677419355,19.041935483870965,18.070967741935487,18.087096774193547,18.309677419354838,18.248387096774195,18.21935483870968,17.725806451612904,18.238709677419354,18.887096774193548,20.329032258064515,21.083870967741937,22.99032258064516
12-01-19 12-02-03,19.177419354838708,19.025806451612905,18.041935483870965,17.996774193548386,18.27741935483871,18.216129032258063,18.06129032258064,17.48709677419355,18.132258064516126,18.783870967741933,20.216129032258063,20.929032258064517,22.916129032258066
12-01-20 12-02-04,19.099999999999998,18.612903225806452,17.92903225806451,18.012903225806447,18.193548387096772,18.15806451612903,17.916129032258063,17.461290322580645,17.932258064516127,18.625806451612902,20.05806451612903,20.70645161290323,22.845161290322583
12-01-21 12-02-05,18.94193548387097,18.538709677419355,17.722580645161294,17.874193548387098,18.067741935483873,18.003225806451614,17.864516129032257,17.361290322580647,17.845161290322586,18.509677419354837,19.977419354838712,20.64838709677419,22.819354838709685
12-01-22 12-02-06,18.893548387096768,18.351612903225803,17.680645161290318,17.887096774193548,18.1,18.02258064516129,17.76774193548387,17.27741935483871,17.84193548387097,18.52258064516129,19.948387096774198,20.587096774193554,22.761290322580642
12-01-23 12-02-07,18.916129032258063,18.441935483870974,17.709677419354843,17.880645161290317,18.074193548387097,18.00322580645161,17.77741935483871,17.235483870967744,17.86774193548387,18.51290322580645,20.041935483870965,20.683870967741935,22.916129032258063
