GMT00    GMT08,台北,板橋,新竹,宜蘭,花蓮,梧棲,台中,嘉義,永康,台南,台東,高雄,恆春
02-01-00 02-01-08,14.45172414,13.9,13.74482759,15.20689655,16.77241379,14.57931034,14.9,14.80689655,15.25517241,15.90344828,18.06206897,17.69655172,20.9
02-01-01 02-01-09,15.65517241,14.79310345,14.73448276,16.39655172,17.66551724,15.45862069,16.33103448,16.24137931,16.66896552,16.83793103,19.15517241,19.25517241,21.95172414
02-01-02 02-01-10,16.64482759,15.97586207,15.59655172,17.16896552,18.52758621,16.15172414,17.66896552,17.51724138,17.90344828,17.94482759,20.11034483,20.66206897,22.72413793
02-01-03 02-01-11,17.25517241,16.95862069,16.08965517,17.67931034,19.11034483,16.55517241,18.70344828,18.67241379,19.26896552,19.12068966,21.16551724,21.52068966,23.26896552
02-01-04 02-01-12,17.56896552,17.25517241,16.1,17.85517241,19.38275862,16.99310345,19.36551724,19.64482759,20.14137931,20.09655172,21.54482759,22.24827586,23.62413793
02-01-05 02-01-13,17.45172414,17.43103448,16.35172414,17.87586207,19.54137931,16.96551724,19.87586207,20.4137931,21.04482759,20.80344828,21.62068966,22.71724138,23.60344828
02-01-06 02-01-14,17.38275862,17.27931034,16.14137931,17.78275862,19.30689655,16.76896552,19.74827586,20.65172414,21.3137931,21.17241379,21.46551724,22.7862069,23.4862069
02-01-07 02-01-15,16.92758621,16.89655172,15.6137931,17.47241379,19.12413793,16.32758621,19.26896552,20.22758621,21.05862069,20.91034483,21.02413793,22.62413793,23.26206897
02-01-08 02-01-16,16.38965517,16.33103448,15.15172414,17.1,18.94827586,15.98965517,18.55517241,19.63793103,20.15517241,20.27931034,20.62068966,22.23448276,22.74827586
02-01-09 02-01-17,15.93103448,15.86206897,14.84482759,16.63103448,18.61724138,15.38965517,17.57586207,18.54482759,18.86206897,19.04827586,20.11724138,21.70344828,22.03448276
02-01-10 02-01-18,15.6137931,15.33793103,14.48275862,16.12758621,18.31724138,14.92413793,16.76896552,17.35172414,17.80344828,18.01724138,19.64827586,20.98275862,21.33793103
02-01-11 02-01-19,15.4862069,15.06551724,14.33103448,15.89310345,18.11724138,14.73103448,16.34482759,16.64827586,16.99655172,17.31724138,19.29655172,20.32068966,21.06896552
02-01-12 02-01-20,15.32413793,14.84137931,14.23448276,15.54137931,17.85862069,14.63793103,15.92068966,16.13793103,16.45517241,16.85862069,18.97241379,19.76206897,20.87586207
02-01-13 02-01-21,15.13103448,14.63103448,14.11724138,15.23103448,17.70689655,14.50689655,15.73103448,15.83448276,16.1137931,16.53103448,18.7137931,19.08965517,20.67931034
02-01-14 02-01-22,15.01034483,14.46206897,14.03103448,15.02068966,17.46896552,14.48965517,15.36206897,15.43793103,15.82758621,16.27241379,18.36551724,18.72758621,20.58275862
02-01-15 02-01-23,14.87241379,14.25172414,13.94827586,14.82413793,17.24137931,14.5137931,15.11724138,15.12068966,15.5,16.04137931,18.14482759,18.46896552,20.38965517
02-01-16 02-01-24,14.67931034,14.14482759,13.84827586,14.56206897,17.07931034,14.52758621,14.8862069,14.83448276,15.28965517,15.76551724,17.8137931,18.16206897,20.23448276
02-01-17 02-02-01,14.47241379,13.97241379,13.76206897,14.45862069,16.80689655,14.53793103,14.72758621,14.5862069,15.07241379,15.58275862,17.6137931,17.87586207,20.03793103
02-01-18 02-02-02,14.34827586,13.75172414,13.75172414,14.29310345,16.66896552,14.55517241,14.39655172,14.35517241,14.85172414,15.39310345,17.45862069,17.58275862,19.69655172
02-01-19 02-02-03,14.1862069,13.66896552,13.54482759,14.26551724,16.53103448,14.39655172,14.37241379,14.18965517,14.67931034,15.25517241,17.38275862,17.46551724,19.58965517
02-01-20 02-02-04,13.97241379,13.43448276,13.39655172,14.17241379,16.4137931,14.27931034,14.26896552,14.07586207,14.59655172,15.17241379,17.24827586,17.25517241,19.61034483
02-01-21 02-02-05,13.85517241,13.29310345,13.25517241,14.07586207,16.34482759,14.14482759,14.02758621,14.0137931,14.43103448,15.06206897,17.23103448,17.08275862,19.52758621
02-01-22 02-02-06,13.87931034,13.25172414,13.13448276,14.02413793,16.27241379,13.92068966,13.93448276,13.87241379,14.48275862,15.03793103,17.16206897,16.94482759,19.64137931
02-01-23 02-02-07,13.90689655,13.34482759,13.03793103,14.20689655,16.24482759,13.87931034,13.90344828,13.92068966,14.5,15.18275862,17.22413793,16.95862069,19.89310345
